Project Name,Field Number,Stream depth (m),Year
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-008A,0.45,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-008A,0.8,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-008A,0.91,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-009A,0.4,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-009A,0.75,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-009A,0.75,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-010A,1.85,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-010A,1.7,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-010A,1.65,2019
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-001A,0.731,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-001A,1.49,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-002A,1.49,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-003A,0.98,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-004A,1.25,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-080823-005A,1.32,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-001A,1.58,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-002A,0.738,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-003A,0.52,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-004A,1.17,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-005A,0.88,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-006A,1.15,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-001A,1.782,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-002A,1.06,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-003A,0.78,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-004A,0.84,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-005A,0.64,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-006A,0.65,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-006A,0.399,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-006A,0.573,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-006A,0.584,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-001A,0.539,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-001A,0.419,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-001A,0.53,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-002A,0.164,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-002A,0.473,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-002A,0.524,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-003A,0.496,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-003A,0.433,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-003A,0.532,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-005A,0.436,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-005A,0.522,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-005A,0.528,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-004A,0.455,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-004A,0.66,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-004A,1.044,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-001A,0.948,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-001A,0.91,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-001A,0.878,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-001A,0.692,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-001A,0.965,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-001A,0.938,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-002A,0.71,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-002A,0.631,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-002A,1.23,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-003A,0.524,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-003A,0.721,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-003A,0.782,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-004A,0.698,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-004A,0.63,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-004A,0.652,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-005A,0.93,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-005A,0.928,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-005A,1.1,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-006A,0.376,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-006A,0.56,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-006A,0.648,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-001A,0.448,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-001A,0.85,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-001A,0.67,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-002A,0.508,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-002A,1.18,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-002A,1.28,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-003A,0.86,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-003A,1,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-003A,1.32,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-004A,0.95,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-004A,0.928,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-004A,1.09,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-005A,1.05,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-005A,1.28,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-005A,1.45,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-006A,0.44,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-006A,0.71,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-006A,1.24,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-001A,0.966,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-001A,1.01,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-001A,1,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-002A,0.951,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-002A,0.98,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-002A,1,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-003A,0.764,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-003A,1.01,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-003A,1.02,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-004A,1.14,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-004A,1.14,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-004A,1.15,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-005A,0.99,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-005A,1.01,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-005A,1,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-006A,1,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-006A,1.06,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-006A,1.05,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-001A,1.01,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-001A,1.03,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-001A,1.05,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-002A,0.92,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-002A,0.84,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-002A,0.89,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-003A,0.99,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-003A,1.04,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-003A,1.09,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-004A,1.24,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-004A,0.98,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-004A,1.02,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-005A,0.81,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-005A,0.94,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-005A,1.01,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-006A,1.015,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-006A,0.85,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-006A,1.015,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-001A,1.272,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-001A,1.35,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-001A,0.92,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-001A,1.04,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-001A,1.07,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-002A,0.2,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-002A,0.504,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-002A,0.69,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-002A,1.01,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-002A,1.07,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-002A,1.08,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-003A,1.02,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-003A,1.07,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-003A,0.98,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-003A,0.663,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-003A,1.292,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-003A,1.28,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-004A,0.97,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-004A,0.96,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-004A,1.02,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-004A,0.44,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-004A,0.672,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-004A,0.618,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-005A,0.79,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-005A,1.08,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-005A,0.96,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-006A,0.65,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-006A,0.88,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-006A,1.03,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-005A,0.19,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-005A,1.03,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-005A,1.17,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-006A,0.601,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-006A,0.306,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-006A,0.512,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-001A,0.354,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-001A,0.877,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-001A,1.03,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,0.415,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,0.89,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,0.93,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-003A,0.81,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-003A,1,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-003A,0.824,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-004A,1.3,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-004A,1.75,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-004A,1,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-005A,0.722,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-005A,1.054,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-005A,1.63,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-006A,0.891,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-006A,1.22,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-006A,1.122,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-002A,0.886,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-002A,1.174,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-002A,0.967,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-003A,0.7,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-003A,1.26,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-003A,1.81,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-004A,0.78,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-004A,1.244,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-004A,1.289,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-005A,0.61,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-005A,1.42,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-005A,1.305,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-006A,0.92,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-006A,0.94,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-006A,0.9,2023
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-001A,0.2,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-001A,0.79,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-002A,,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-002A,0.95,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-003A,0.39,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-003A,0.99,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-003A,0.89,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-004A,0.6,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-004A,0.65,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-004A,0.9,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-005A,0.83,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-005A,1.05,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-005A,1,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-001A,0.37,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-001A,1.56,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-001A,1.38,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-002A,0.65,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-002A,1.73,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-002A,1.2,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-003A,0.86,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-003A,1.51,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-003A,1.51,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-004A,0.71,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-004A,1.08,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-004A,1,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-005A,0.32,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-005A,1.6,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-005A,0.9,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-001A,0.54,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-001A,0.84,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-001A,0.85,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-002A,0.33,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-002A,0.63,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-002A,0.74,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-003A,0.66,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-003A,0.6,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-003A,0.65,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-004A,0.65,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-004A,1.69,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-004A,2.05,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-005A,0.77,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-005A,0.76,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-005A,0.58,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-001A,1,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-001A,1.08,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-001A,0.8,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-002A,0.3,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-002A,0.3,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-002A,0.59,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-003A,0.8,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-003A,0.74,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-003A,0.56,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-004A,0.37,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-004A,1.07,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-004A,1.37,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-005A,0.36,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-005A,0.88,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-005A,0.7,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-001A,0.57,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-001A,1.2,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-001A,1.1,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-002A,0.69,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-002A,1.45,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-002A,1.43,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-003A,0.45,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-003A,0.4,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-003A,0.49,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-004A,0.14,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-004A,0.57,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-004A,0.78,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-005A,0.36,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-005A,0.19,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-005A,0.34,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-150824-001A,0.27,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-150824-001A,0.93,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-150824-001A,0.87,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-150824-002A,0.66,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-150824-002A,0.8,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-150824-002A,0.8,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-150824-003A,0.28,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-150824-003A,0.61,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-150824-003A,0.72,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-150824-004A,0.78,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-150824-004A,0.97,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-150824-004A,0.9,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-150824-005A,0.12,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-150824-005A,1.56,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-150824-005A,1.52,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-190824-001A,0.26,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-190824-001A,0.3,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-190824-001A,0.23,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-190824-002A,0.15,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-190824-002A,1.05,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-190824-002A,1.09,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-190824-003A,0.19,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-190824-003A,0.4,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-190824-003A,0.52,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-190824-004A,0.94,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-190824-004A,1.01,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-190824-004A,1.01,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-190824-005A,0.63,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-190824-005A,1.1,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-190824-005A,0.42,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-001A,,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-002A,0.74,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-200824-001A,0.33,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-200824-001A,1.12,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-200824-001A,1.53,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-200824-002A,0.54,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-200824-002A,1.45,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-200824-002A,1.77,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-200824-003A,0.74,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-200824-003A,1.3,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-200824-003A,1.66,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-200824-004A,0.88,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-200824-004A,1.53,2024
