Project Name,Field Number,Stream depth (m),Year
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-090919-009A,0.79,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-090919-009A,0.91,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-090919-010A,0.85,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-090919-010A,0.81,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-090919-010A,0.81,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-001A,0.77,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-001A,0.81,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-001A,0.79,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-002A,0.79,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-002A,0.82,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-002A,0.81,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-003A,0.39,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-003A,0.71,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-003A,0.75,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-004A,0.88,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-004A,0.85,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-004A,0.86,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-005A,0.89,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-005A,0.91,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-005A,0.96,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-006A,0.95,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-006A,0.85,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-006A,0.93,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-007A,0.87,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-007A,0.97,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-007A,0.98,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-008A,0.8,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-008A,0.83,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-008A,0.81,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-009A,1.16,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-009A,1.2,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-009A,0.98,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-010A,0.64,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-010A,0.81,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-100919-010A,0.81,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-110919-001A,1.5,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-110919-001A,1.62,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-110919-001A,1.35,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-110919-002A,1.27,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-110919-002A,1.55,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-110919-003A,1.58,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-110919-003A,1.15,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-110919-003A,1.2,2019
