Project Name,Field Number,Bin Number,Number Captured,Species,Minimum (mm),Maximum (mm),Year
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-003A,1,1,Micropterus nigricans,71,71,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-003A,1,2,Lepomis macrochirus,39,104,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-003A,1,3,Pomoxis nigromaculatus,127,242,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-003A,1,1,Ameiurus melas,291,291,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-003A,1,1,Amia ocellicauda,519,519,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-004A,1,2,Pomoxis nigromaculatus,65,137,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-004A,1,2,Micropterus nigricans,64,65,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-004A,1,5,Lepomis macrochirus,35,184,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-004A,1,22,Notemigonus crysoleucas,49,64,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-004A,1,9,Lepomis gibbosus,35,163,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-004A,1,1,Esox lucius,373,373,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-005A,1,7,Ameiurus melas,291,330,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-005A,1,1,Micropterus nigricans,223,223,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-005A,1,4,Lepomis gibbosus,131,182,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-005A,1,1,Amia ocellicauda,464,464,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-006A,1,1,Carassius auratus X Cyprinus carpio,95,95,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-006A,1,12,Lepomis macrochirus,37,110,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-006A,1,1,Notemigonus crysoleucas,111,111,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-006A,1,12,Lepomis gibbosus,39,174,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-006A,1,7,Micropterus nigricans,54,71,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-006A,1,17,Lepomis sp,32,38,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-006A,1,1,Carassius auratus,284,284,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-001A,1,3,Lepomis gibbosus,73,196,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-001A,1,2,Ameiurus melas,260,285,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-001A,1,1,Micropterus nigricans,69,69,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-001A,1,1,Umbra limi,43,43,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-001A,1,1,Amia ocellicauda,576,576,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-002A,1,27,Notemigonus crysoleucas,47,57,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-002A,1,4,Lepomis sp,35,105,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-002A,1,8,Lepomis gibbosus,66,142,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-002A,1,1,Umbra limi,40,40,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-002A,1,1,Micropterus nigricans,59,59,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-002A,1,3,Erimyzon sucetta,50,55,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-002A,1,1,Amia ocellicauda,532,532,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-003A,1,2,Pomoxis nigromaculatus,129,249,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-003A,1,2,Lepomis macrochirus,37,188,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-003A,1,1,Micropterus nigricans,82,82,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-003A,1,12,Lepomis gibbosus,41,143,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-003A,1,7,Lepomis sp,17,44,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-004A,1,16,Lepomis sp,25,40,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-004A,1,18,Lepomis gibbosus,33,124,2023
